id,number,raw,authors,year,title,venue,url,doi,arxiv_id,publication_type_seed,pet_family_seed,text_strategy,publication_type,pet_family,primary_topic,secondary_topics,review_note
ref-7cac0cfb,1,"Abadi, M., Chu, A., Goodfellow, I., McMahan, H.B., Mironov, I., Talwar, K. and Zhang, L. (2016) 'Deep learning with differential privacy', in Proceedings of the 2016 ACM SIGSAC Conference on Computer and Communications Security. New York: ACM, pp. 308-318. <https://doi.org/10.1145/2976749.2978318>","Abadi, M., Chu, A., Goodfellow, I., McMahan, H.B., Mironov, I., Talwar, K. and Zhang, L",2016,Deep learning with differential privacy,"in Proceedings of the 2016 ACM SIGSAC Conference on Computer and Communications Security. New York: ACM, pp. 308-318. <https://doi.org/10.1145/2976749.2978318>",https://doi.org/10.1145/2976749.2978318,10.1145/2976749.2978318,,academic_paper,differential_privacy,abstract,academic_paper,differential_privacy,,,
ref-9861f587,2,"Abowd, J.M. and Vilhuber, L. (2008) 'How protective are synthetic data?', in Domingo-Ferrer, J. and Saygin, Y. (eds.) Privacy in Statistical Databases (PSD 2008). Lecture Notes in Computer Science, 5262. Berlin: Springer, pp. 239-246. <https://doi.org/10.1007/978-3-540-87471-3_20>","Abowd, J.M. and Vilhuber, L",2008,How protective are synthetic data?,"in Domingo-Ferrer, J. and Saygin, Y. (eds.) Privacy in Statistical Databases (PSD 2008). Lecture Notes in Computer Science, 5262. Berlin: Springer, pp. 239-246. <https://doi.org/10.1007/978-3-540-87471-3_20>",https://doi.org/10.1007/978-3-540-87471-3_20,10.1007/978-3-540-87471-3_20,,academic_paper,synthetic_data,abstract,academic_paper,synthetic_data,,,
ref-e5b698e9,3,"ADR UK (2024) 'New process at the ONS aims to speed up output clearance', Administrative Data Research UK, 20 June. Available at: <https://www.adruk.org/news-publications/news-blogs/new-process-at-the-ons-aims-to-speed-up-output-clearance/>",ADR UK,2024,New process at the ONS aims to speed up output clearance,"Administrative Data Research UK, 20 June. Available at: <https://www.adruk.org/news-publications/news-blogs/new-process-at-the-ons-aims-to-speed-up-output-clearance/>",https://www.adruk.org/news-publications/news-blogs/new-process-at-the-ons-aims-to-speed-up-output-clearance/,,,industry_blog,,full,industry_blog,,,,
ref-48fec654,4,"Agarwal, A., Raykova, M., Peceny, S., Schoppmann, P. and Seth, K. (2022) 'Communication-efficient secure logistic regression', IACR Cryptology ePrint Archive, Report 2022/866. Available at: <https://eprint.iacr.org/2022/866.pdf>","Agarwal, A., Raykova, M., Peceny, S., Schoppmann, P. and Seth, K",2022,Communication-efficient secure logistic regression,"IACR Cryptology ePrint Archive, Report 2022/866. Available at: <https://eprint.iacr.org/2022/866.pdf>",https://eprint.iacr.org/2022/866.pdf,,,preprint,,abstract,preprint,,,,
ref-b8270081,5,"Alexandru, A., Kim, A. and Polyakov, Y. (2025) 'General functional bootstrapping using CKKS', in Advances in Cryptology - CRYPTO 2025. Cham: Springer, pp. 304-337.","Alexandru, A., Kim, A. and Polyakov, Y",2025,General functional bootstrapping using CKKS,"in Advances in Cryptology - CRYPTO 2025. Cham: Springer, pp. 304-337",,,,academic_paper,fhe,abstract,academic_paper,fhe,,,
ref-f015859d,6,"Alexandru, A. and Rohloff, K. (2024) 'Privacy-preserving data sharing across financial institutions' (slides), NIST Workshop on Privacy-Enhancing Cryptography (WPEC) 2024. Available at: <https://csrc.nist.gov/csrc/media/Presentations/2024/wpec2024-2a6/images-media/wpec2024-2a6-slides-andreea-kurt--PPDS-financial.pdf>","Alexandru, A. and Rohloff, K",2024,Privacy-preserving data sharing across financial institutions,"(slides), NIST Workshop on Privacy-Enhancing Cryptography (WPEC) 2024. Available at: <https://csrc.nist.gov/csrc/media/Presentations/2024/wpec2024-2a6/images-media/wpec2024-2a6-slides-andreea-kurt--PPDS-financial.pdf>",https://csrc.nist.gov/csrc/media/Presentations/2024/wpec2024-2a6/images-media/wpec2024-2a6-slides-andreea-kurt--PPDS-financial.pdf,,,technical_whitepaper,,summary,technical_whitepaper,,,,
ref-8a85c4e3,7,"Ali, A., Choi, J., Gipson, B., Gorantala, S., Kun, J., Legiest, W., Lim, L., Viand, A., Demissie, M.Z. and Zheng, H. (2025) 'HEIR: a universal compiler for homomorphic encryption', arXiv preprint arXiv:2508.11095. Available at: <https://arxiv.org/abs/2508.11095>","Ali, A., Choi, J., Gipson, B., Gorantala, S., Kun, J., Legiest, W., Lim, L., Viand, A., Demissie, M.Z. and Zheng, H",2025,HEIR: a universal compiler for homomorphic encryption,arXiv preprint arXiv:2508.11095. Available at: <https://arxiv.org/abs/2508.11095>,https://arxiv.org/abs/2508.11095,,2508.11095,preprint,fhe,abstract,preprint,fhe,,,
ref-4d3ff31d,8,Amazon Web Services (n.d.) What is Nitro Enclaves? AWS Nitro Enclaves Documentation. Available at: <https://docs.aws.amazon.com/enclaves/latest/user/nitro-enclave.html>,,,,Amazon Web Services (n.d.) What is Nitro Enclaves? AWS Nitro Enclaves Documentation. Available at: <https://docs.aws.amazon.com/enclaves/latest/user/nitro-enclave.html>,https://docs.aws.amazon.com/enclaves/latest/user/nitro-enclave.html,,,online_resource,tee,manual,online_resource,tee,,,
ref-1bc460eb,9,"Amazon Web Services (2025) 'Collaborative AI model training with Rhino Federated Computing on AWS', AWS Industries Blog, 17 December. Available at: <https://aws.amazon.com/blogs/industries/collaborative-ai-model-training-with-rhino-federated-computing-on-aws/>",Amazon Web Services,2025,Collaborative AI model training with Rhino Federated Computing on AWS,"AWS Industries Blog, 17 December. Available at: <https://aws.amazon.com/blogs/industries/collaborative-ai-model-training-with-rhino-federated-computing-on-aws/>",https://aws.amazon.com/blogs/industries/collaborative-ai-model-training-with-rhino-federated-computing-on-aws/,,,industry_blog,federated_learning,full,industry_blog,federated_learning,,,
ref-5b49303e,10,"Ameur, Y. and Bouzefrane, S. (2023) 'State-of-the-art and development of privacy-enhancing technologies', EasyChair Preprint, no. 9814. Available at: <https://easychair.org/publications/preprint/j5kR>","Ameur, Y. and Bouzefrane, S",2023,State-of-the-art and development of privacy-enhancing technologies,"EasyChair Preprint, no. 9814. Available at: <https://easychair.org/publications/preprint/j5kR>",https://easychair.org/publications/preprint/j5kR,,,preprint,,abstract,preprint,,,,
ref-3b5fb542,11,"Andrés, M.E., Bordenabe, N.E., Chatzikokolakis, K. and Palamidessi, C. (2013) 'Geo-indistinguishability: differential privacy for location-based systems', in Proceedings of the 2013 ACM SIGSAC Conference on Computer and Communications Security (CCS 2013), pp. 901-914. <https://doi.org/10.1145/2508859.2516735>","Andrés, M.E., Bordenabe, N.E., Chatzikokolakis, K. and Palamidessi, C",2013,Geo-indistinguishability: differential privacy for location-based systems,"in Proceedings of the 2013 ACM SIGSAC Conference on Computer and Communications Security (CCS 2013), pp. 901-914. <https://doi.org/10.1145/2508859.2516735>",https://doi.org/10.1145/2508859.2516735,10.1145/2508859.2516735,,academic_paper,differential_privacy,abstract,academic_paper,differential_privacy,,,
ref-c38dce0d,12,"Apple Security Engineering and Architecture (2024) 'Private Cloud Compute: a new frontier for AI privacy in the cloud', Apple Security Research Blog, 10 June. Available at: <https://security.apple.com/blog/private-cloud-compute/>",Apple Security Engineering and Architecture,2024,Private Cloud Compute: a new frontier for AI privacy in the cloud,"Apple Security Research Blog, 10 June. Available at: <https://security.apple.com/blog/private-cloud-compute/>",https://security.apple.com/blog/private-cloud-compute/,,,industry_blog,,full,industry_blog,,,,
ref-eeb53da8,13,"Archer, D.W., Bogdanov, D., Lindell, Y., Kamm, L., Nielsen, K., Pagter, J.I., Smart, N.P. and Wright, R.N. (2018) 'From keys to databases - real-world applications of secure multi-party computation', The Computer Journal, 61(12), pp. 1749-1771. <https://doi.org/10.1093/comjnl/bxy090>","Archer, D.W., Bogdanov, D., Lindell, Y., Kamm, L., Nielsen, K., Pagter, J.I., Smart, N.P. and Wright, R.N",2018,From keys to databases - real-world applications of secure multi-party computation,"The Computer Journal, 61(12), pp. 1749-1771. <https://doi.org/10.1093/comjnl/bxy090>",https://doi.org/10.1093/comjnl/bxy090,10.1093/comjnl/bxy090,,academic_paper,mpc,abstract,academic_paper,mpc,,,
ref-7aa32465,14,"Arnautov, S., Trach, B., Gregor, F., Knauth, T., Martin, A., Priebe, C., Lind, J., Muthukumaran, D., O'Keeffe, D., Stillwell, M.L., Goltzsche, D., Eyers, D., Kapitza, R., Pietzuch, P. and Fetzer, C. (2016) 'SCONE: secure Linux containers with Intel SGX', in Proceedings of the 12th USENIX Symposium on Operating Systems Design and Implementation (OSDI 2016), pp. 689-703.","Arnautov, S., Trach, B., Gregor, F., Knauth, T., Martin, A., Priebe, C., Lind, J., Muthukumaran, D., O'Keeffe, D., Stillwell, M.L., Goltzsche, D., Eyers, D., Kapitza, R., Pietzuch, P. and Fetzer, C",2016,SCONE: secure Linux containers with Intel SGX,"in Proceedings of the 12th USENIX Symposium on Operating Systems Design and Implementation (OSDI 2016), pp. 689-703",,,,academic_paper,tee,abstract,academic_paper,tee,,,
ref-ba20c1ba,15,"Assefa, S., Dervovic, D., Mahfouz, M., Balch, T., Reddy, P. and Veloso, M. (2020) Generating synthetic data in finance: opportunities, challenges and pitfalls. New York: J.P. Morgan Chase & Co. Available at: <https://www.jpmorgan.com/content/dam/jpm/cib/complex/content/technology/ai-research-publications/pdf-8.pdf>","Assefa, S., Dervovic, D., Mahfouz, M., Balch, T., Reddy, P. and Veloso, M",2020,,"Generating synthetic data in finance: opportunities, challenges and pitfalls. New York: J.P. Morgan Chase & Co. Available at: <https://www.jpmorgan.com/content/dam/jpm/cib/complex/content/technology/ai-research-publications/pdf-8.pdf>",https://www.jpmorgan.com/content/dam/jpm/cib/complex/content/technology/ai-research-publications/pdf-8.pdf,,,technical_whitepaper,synthetic_data,summary,technical_whitepaper,synthetic_data,,,
ref-fa01a975,16,"Babel, M. and Sedlmeir, J. (2023) 'Bringing data minimization to digital wallets at scale with general-purpose zero-knowledge proofs', arXiv preprint arXiv:2301.00823. Available at: <https://arxiv.org/abs/2301.00823>","Babel, M. and Sedlmeir, J",2023,Bringing data minimization to digital wallets at scale with general-purpose zero-knowledge proofs,arXiv preprint arXiv:2301.00823. Available at: <https://arxiv.org/abs/2301.00823>,https://arxiv.org/abs/2301.00823,,2301.00823,preprint,,abstract,preprint,,,,
